keyword,search_volume,keyword_difficulty,cpc,current_url,rank,clicks,impressions,ctr,intent
SEO,5400,72,3.20,,45,120,2800,4.3,informational
marketing,8100,65,4.50,,52,98,1900,5.2,informational
analytics,3600,58,5.10,,38,210,3100,6.8,informational
web design,4400,62,8.30,/website-development/,12,320,2600,12.3,commercial
content marketing,2900,55,6.20,,28,180,2100,8.6,informational
engagement,1900,42,3.80,,67,45,890,5.1,informational
social media,9900,78,5.60,,89,34,1200,2.8,informational
PPC,2400,68,12.40,,55,67,1100,6.1,commercial
email marketing,3300,60,7.80,,43,89,1450,6.1,commercial
branding,2800,52,4.20,,71,23,560,4.1,commercial
conversion rate,1900,64,9.10,,34,145,1870,7.8,commercial
customer journey,1600,48,5.30,,62,56,780,7.2,informational
user experience,3200,56,6.70,/website-development/,18,280,2100,13.3,informational
backlinks,2700,74,4.80,,61,43,920,4.7,informational
SERP,1800,70,3.60,,49,67,1340,5.0,informational
digital advertising,2100,66,11.20,,58,34,780,4.4,commercial
keyword research,2400,62,5.90,/seo-services/,15,190,1560,12.2,informational
landing page,3100,59,8.40,/website-development/,22,167,1230,13.6,commercial
organic traffic,2900,61,4.20,/seo-services/,9,312,2800,11.1,informational
remarketing,1500,63,14.30,,47,45,890,5.1,commercial
A/B testing,2200,55,7.20,,33,123,1560,7.9,informational
click-through rate,1700,53,3.80,/seo-services/,41,78,1200,6.5,informational
copywriting,2600,50,6.10,,68,34,670,5.1,commercial
lead generation,3800,69,12.80,,37,198,2100,9.4,commercial
mobile optimization,2100,57,5.40,/website-development/,29,112,1340,8.4,informational
inbound marketing,1800,54,7.60,,56,67,890,7.5,informational
affiliate marketing,4200,71,8.20,,72,23,560,4.1,commercial
content management,1600,47,5.90,,48,89,1120,7.9,informational
influencer marketing,3500,67,9.30,,63,45,890,5.1,commercial
sales funnel,2800,61,11.40,,31,167,1890,8.8,commercial
search query,1400,58,3.20,,54,56,780,7.2,informational
target audience,2100,52,5.80,,44,78,1100,7.1,informational
viral marketing,1200,60,4.60,,77,12,340,3.5,informational
bounce rate,2300,55,4.30,/seo-services/,36,123,1560,7.9,informational
domain authority,2600,67,4.10,/seo-services/,27,189,1780,10.6,informational
meta description,1900,58,3.70,/seo-services/,19,234,2100,11.1,informational
page speed,2700,61,4.20,/website-development/,14,312,2450,12.7,informational
ROI,4500,64,15.60,,42,89,1340,6.6,commercial
social proof,1800,49,5.80,,55,67,890,7.5,commercial
call to action,2400,53,6.40,/website-development/,24,156,1340,11.6,commercial
CMS,2100,55,8.90,,38,145,1890,7.7,informational
CRM,3400,63,18.40,,46,89,1120,7.9,commercial
customer segmentation,1600,57,9.20,,59,45,670,6.7,commercial
website development,2900,58,12.50,/website-development/,8,340,4200,8.1,commercial
link building,2200,71,5.60,/seo-services/,16,212,2100,10.1,informational
online reputation,1400,53,6.80,,62,34,560,6.1,commercial
SEO audit,1900,62,7.30,/seo-services/,11,278,2560,10.9,commercial
user interface,2800,54,6.20,/website-development/,21,198,1780,11.1,informational
data-driven marketing,1300,59,8.40,,48,56,780,7.2,informational
seo basics,1100,45,3.10,/seo-services/,7,345,3400,10.1,informational
