keyword,search_volume,keyword_difficulty,cpc,current_url,rank,clicks,impressions,ctr,primary_intent,branded,cluster_id,cluster_label,recommended_page,recommended_url,page_similarity_score,content_gap,current_page,primary_topic,topic_similarity_score,opportunity_score,notes
SEO,5400,72,3.2,,45,120,2800,4.3,informational,False,4,Marketing / Seo / Content,SEO Services,/seo-services/,0.4876,False,,SEO Basics,0.5061,0.0621,
marketing,8100,65,4.5,,52,98,1900,5.2,informational,False,4,Marketing / Seo / Content,Home,/,0.0,True,,Digital Marketing,0.4167,0.2665,Content gap — no suitable page found
analytics,3600,58,5.1,,38,210,3100,6.8,informational,False,4,Marketing / Seo / Content,Home,/,0.0,True,,Web Analytics,0.5582,0.0736,Content gap — no suitable page found
web design,4400,62,8.3,/website-development/,12,320,2600,12.3,commercial,False,4,Marketing / Seo / Content,Home,/,0.0,True,Website Development Services,Web Analytics,0.302,-0.01,"Page mismatch — currently: Website Development Services, recommended: Home; Content gap — no suitable page found"
content marketing,2900,55,6.2,,28,180,2100,8.6,informational,False,4,Marketing / Seo / Content,Home,/,0.0,True,,Content Strategy,0.2994,0.0335,Content gap — no suitable page found
engagement,1900,42,3.8,,67,45,890,5.1,informational,False,4,Marketing / Seo / Content,Home,/,0.0,True,,Customer Engagement,0.5705,0.2264,Content gap — no suitable page found
social media,9900,78,5.6,,89,34,1200,2.8,informational,False,7,Social / Social Proof / Social Media,Home,/,0.0,True,,Social Media Marketing,0.7945,0.3633,Content gap — no suitable page found; High opportunity
PPC,2400,68,12.4,,55,67,1100,6.1,commercial,False,4,Marketing / Seo / Content,Home,/,0.0,True,,PPC Campaigns,0.5409,-0.0076,Content gap — no suitable page found
email marketing,3300,60,7.8,,43,89,1450,6.1,commercial,False,4,Marketing / Seo / Content,Home,/,0.0,True,,Digital Marketing,0.1672,0.06,Content gap — no suitable page found
branding,2800,52,4.2,,71,23,560,4.1,commercial,False,4,Marketing / Seo / Content,Home,/,0.0,True,,SEO Basics,0.0,0.1973,Content gap — no suitable page found
conversion rate,1900,64,9.1,,34,145,1870,7.8,commercial,False,5,Rate / Conversion Rate / Conversion,Home,/,0.0,True,,SEO Basics,0.0,-0.067,Content gap — no suitable page found
customer journey,1600,48,5.3,,62,56,780,7.2,informational,False,2,Customer / Segmentation / Journey,Home,/,0.0,True,,Customer Engagement,0.272,0.1461,Content gap — no suitable page found
user experience,3200,56,6.7,/website-development/,18,280,2100,13.3,informational,False,1,User / User Interface / User Experience,Home,/,0.0,True,Website Development Services,SEO Basics,0.0,0.0055,"Page mismatch — currently: Website Development Services, recommended: Home; Content gap — no suitable page found"
backlinks,2700,74,4.8,,61,43,920,4.7,informational,False,4,Marketing / Seo / Content,Home,/,0.0,True,,SEO Basics,0.0,-0.0239,Content gap — no suitable page found
SERP,1800,70,3.6,,49,67,1340,5.0,informational,False,4,Marketing / Seo / Content,Home,/,0.0,True,,SEO Basics,0.0,-0.0715,Content gap — no suitable page found
digital advertising,2100,66,11.2,,58,34,780,4.4,commercial,False,4,Marketing / Seo / Content,Home,/,0.0,True,,Digital Marketing,0.3309,0.0055,Content gap — no suitable page found
keyword research,2400,62,5.9,/seo-services/,15,190,1560,12.2,informational,False,4,Marketing / Seo / Content,Home,/,0.0,True,SEO Services,SEO Basics,0.0,-0.0909,"Page mismatch — currently: SEO Services, recommended: Home; Content gap — no suitable page found"
landing page,3100,59,8.4,/website-development/,22,167,1230,13.6,commercial,False,6,Page / Speed / Page Speed,Home,/,0.0,True,Website Development Services,SEO Basics,0.0,-0.0108,"Page mismatch — currently: Website Development Services, recommended: Home; Content gap — no suitable page found"
organic traffic,2900,61,4.2,/seo-services/,9,312,2800,11.1,informational,False,0,Traffic / Organic Traffic / Organic,Home,/,0.0,True,SEO Services,SEO Basics,0.0,-0.0765,"Page mismatch — currently: SEO Services, recommended: Home; Content gap — no suitable page found"
remarketing,1500,63,14.3,,47,45,890,5.1,commercial,False,4,Marketing / Seo / Content,Home,/,0.0,True,,SEO Basics,0.0,-0.0335,Content gap — no suitable page found
